"","race","in_kbp","in_mpv","in_fe","in_wapo","year","sex","state"
"57","White",1,1,1,0,2013,"Male","AZ"
"58","White",1,1,1,0,2013,"Male","TX"
"59","",1,0,0,0,2013,"Male","MO"
"60","White",1,1,1,0,2013,"Male","IA"
"61","",1,1,1,0,2013,"Male","CA"
"62","Black",1,1,1,0,2013,"Male","AL"
"63","Hispanic",1,1,1,0,2013,"Male","NJ"
"64","Black",1,1,1,0,2013,"Male","DC"
"65","White",1,1,0,0,2013,"Male","OK"
"66","White",1,1,1,0,2013,"Male","TN"
"67","",1,1,1,0,2013,"Male","AZ"
"68","Black",1,1,1,0,2013,"Male","AL"
"69","Black",1,1,1,0,2013,"Male","OH"
"70","White",1,0,0,0,2013,"Male","MO"
"71","Hispanic",1,1,1,0,2013,"Female","FL"
"72","White",1,1,1,0,2013,"Male","MO"
"73","Black",1,1,1,0,2014,"Male","GA"
"74","Hispanic",1,1,1,0,2014,"Female","CA"
"75","White",1,1,1,0,2014,"Male","KY"
"76","Black",1,1,1,0,2014,"Male","FL"
"77","White",1,1,1,0,2014,"Male","MT"
"78","Black",1,0,0,0,2014,"Male","NJ"
"79","White",1,1,1,0,2014,"Male","AL"
"80","White",1,1,1,0,2014,"Male","PA"
"81","White",1,1,1,0,2014,"Male","FL"
"82","White",1,0,1,0,2014,"Male","AL"
"83","White",1,1,1,0,2014,"Male","CA"
"84","M",1,1,1,0,2014,"Male","AZ"
"85","White",1,1,1,0,2014,"Male","NJ"
"86","White",1,1,1,0,2014,"Male","UT"
"87","Black",1,1,1,0,2014,"Male","FL"
"88","White",1,0,0,0,2014,"Male","CA"
"89","White",1,1,1,0,2014,"Male","AL"
"90","Black",1,1,1,0,2014,"Male","FL"
"91","Black",1,1,1,0,2014,"Male","IL"
"92","White",1,1,1,0,2014,"Male","OH"
"93","Black",1,1,1,0,2014,"Male","TX"
"94","Hispanic",1,1,1,0,2014,"Male","CA"
"95","Hispanic",1,1,1,0,2014,"Male","CA"
"96","Other",1,1,1,0,2014,"Male","FL"
"97","Black",1,1,1,0,2014,"Male","DC"
"98","",1,1,0,0,2014,"Male","OR"
"99","Black",1,1,1,0,2014,"Male","MO"
"100","",1,1,0,0,2014,"Male","FL"
"101","White",1,1,1,0,2014,"Male","MN"
"102","Hispanic",1,1,1,0,2014,"Male","NM"
"103","White",1,1,1,0,2014,"Male","KY"
"104","White",1,1,1,0,2014,"Male","GA"
"105","White",1,1,1,0,2014,"Male","CA"
"106","White",1,1,1,0,2014,"Male","DE"
"107","White",1,1,1,0,2014,"Male","MT"
"108","Hispanic",1,0,0,0,2014,"Male","OK"
"109","NA_PI",1,1,1,0,2014,"Male","SD"
"110","Black",1,1,1,0,2014,"Male","MO"
"111","White",1,1,0,0,2014,"Male","AZ"
"112","White",1,1,1,0,2014,"Female","TX"
"113","NA_PI",1,1,1,0,2014,"Male","CA"
"114","White",1,1,1,0,2014,"Male","IN"
"115","Hispanic",1,1,1,0,2014,"Male","TX"
"116","",1,1,0,0,2014,"Male","CA"
"117","White",1,1,1,0,2014,"Male","NM"
"118","White",1,1,0,0,2014,"Male","AZ"
"119","White",1,1,1,0,2014,"Male","IA"
"120","White",1,1,1,0,2014,"Male","MN"
"121","White",1,1,1,0,2014,"Male","FL"
"122","Black",1,1,1,0,2014,"Male","TN"
"123","Black",1,1,1,0,2014,"Male","PA"
"124","Black",1,1,1,0,2014,"Male","TX"
"125","",1,0,0,0,2014,"Female","PA"
"126","Black",1,1,1,0,2014,"Male","MS"
"127","Hispanic",1,1,1,0,2014,"Male","FL"
"128","",1,1,1,0,2014,"Male","CA"
"129","White",1,1,1,0,2014,"Female","OK"
"130","White",1,1,1,0,2014,"Male","OH"
"131","Hispanic",1,1,1,0,2014,"Male","KS"
"132","",1,1,1,0,2014,"Male","TN"
"133","Black",1,0,0,0,2014,"Male","MS"
"134","White",1,1,1,0,2014,"Male","FL"
"135","White",1,1,1,0,2014,"Male","CO"
"136","White",1,1,1,0,2014,"Male","CA"
"137","Black",1,1,1,0,2014,"Male","NC"
"138","Hispanic",1,1,1,0,2014,"Male","FL"
"139","Hispanic",1,0,0,0,2014,"Female","CA"
"140","White",1,1,1,0,2014,"Male","IN"
"141","White",1,1,1,0,2014,"Male","GA"
"142","Black",1,1,1,0,2014,"Male","NY"
"143","White",1,1,1,0,2014,"Male","FL"
"144","Hispanic",1,1,1,0,2014,"Male","MI"
"145","Black",1,1,1,0,2014,"Male","TX"
"146","Black",1,1,1,0,2014,"Male","OK"
"147","Hispanic",1,0,0,0,2014,"Male","GA"
"148","White",1,1,1,0,2014,"Male","NC"
"149","",1,1,1,0,2014,"Male","IL"
"150","White",1,1,1,0,2014,"Male","NV"
"151","White",1,1,1,0,2014,"Male","SC"
"152","White",1,1,1,0,2014,"Male","CA"
"153","Hispanic",1,1,1,0,2014,"Male","LA"
"154","Black",1,0,1,0,2014,"Male","LA"
"155","White",1,1,1,0,2014,"Male","OK"
"156","White",1,1,1,0,2014,"Female","ME"
"157","Hispanic",1,1,1,0,2014,"Male","FL"
"158","Black",1,1,1,0,2014,"Male","CA"
"159","Hispanic",1,1,1,0,2014,"Male","TX"
"160","Black",1,1,1,0,2014,"Male","NC"
"161","Black",1,1,1,0,2014,"Male","AZ"
"162","Black",1,1,1,0,2014,"Male","OK"
"163","",1,0,0,0,2014,"Male","TX"
"164","Hispanic",1,1,1,0,2014,"Male","TX"
"165","White",1,1,1,0,2014,"Male","SC"
"166","Black",1,1,1,1,2015,"Male","NV"
"167","White",1,1,1,1,2015,"Male","WY"
"168","Hispanic",1,1,1,1,2015,"Male","CA"
"169","Asian",1,1,1,1,2015,"Male","CA"
"170","NA_PI",1,1,1,1,2015,"Female","CA"
"171","White",1,1,0,0,2015,"Male","FL"
"172","White",1,1,1,1,2015,"Male","VA"
"173","Hispanic",1,0,0,0,2015,"Female","PR"
"174","Hispanic",1,0,0,0,2015,"Female","PR"
"175","Hispanic",1,0,0,0,2015,"Male","PR"
"176","White",1,1,1,1,2015,"Male","AZ"
"177","",1,1,1,1,2015,"Male","MS"
"178","",1,1,1,1,2015,"Male","AZ"
"179","Black",1,1,1,1,2015,"Female","IL"
"180","Black",1,1,1,1,2015,"Male","IL"
"181","White",1,1,1,1,2015,"Male","CA"
"182","Black",1,1,1,1,2015,"Male","MI"
"183","Hispanic",1,1,1,1,2015,"Male","CA"
"184","White",1,1,1,1,2015,"Male","LA"
"185","White",1,1,1,1,2015,"Male","LA"
"186","Black",1,1,1,0,2015,"Male","NC"
"187","Black",1,1,1,1,2015,"Male","MI"
"188","Black",1,0,0,0,2015,"Male","DC"
"189","White",1,1,1,1,2015,"Male","VT"
"190","White",1,1,1,1,2015,"Male","KY"
"191","White",1,1,1,1,2015,"Male","FL"
"192","Hispanic",1,1,1,1,2015,"Male","NM"
"193","White",1,1,1,1,2015,"Male","CA"
"194","Black",1,1,1,1,2015,"Male","CO"
"195","White",1,1,1,1,2015,"Male","FL"
"196","White",1,1,1,1,2015,"Male","PA"
"197","Black",1,1,1,1,2015,"Male","LA"
"198","Black",1,1,1,1,2015,"Male","GA"
"199","Hispanic",1,1,1,0,2015,"Male","TX"
"200","Hispanic",1,1,1,1,2015,"Male","CA"
"201","White",1,1,1,0,2015,"Male","NH"
"202","Hispanic",1,1,1,1,2015,"Male","TX"
"203","Black",1,1,1,1,2015,"Male","CA"
"204","Hispanic",1,0,0,0,2015,"Male","CA"
"205","Black",1,1,1,0,2015,"Male","CA"
"206","White",1,1,1,1,2015,"Male","CA"
"207","Black",1,1,0,1,2015,"Male","VA"
"208","White",1,1,1,0,2015,"Male","MD"
"209","Hispanic",1,1,1,1,2015,"Male","NM"
"210","White",1,1,1,1,2015,"Male","TN"
"211","White",1,1,1,1,2015,"Female","OH"
"212","White",1,1,1,1,2015,"Male","CA"
"213","White",1,1,1,1,2015,"Male","OH"
"214","White",1,1,1,1,2015,"Male","CA"
"215","Asian",1,1,1,0,2015,"Male","WA"
"216","Black",1,1,1,1,2015,"Male","NC"
"217","White",1,1,1,0,2015,"Male","VA"
"218","Hispanic",1,1,1,1,2015,"Male","CA"
"219","White",1,1,1,1,2015,"Male","WV"
"220","Asian",1,1,1,1,2015,"Male","CA"
"221","Hispanic",1,1,1,1,2015,"Male","NV"
"222","White",1,1,1,1,2015,"Female","NV"
"223","White",1,1,1,1,2015,"Male","TN"
"224","Hispanic",1,1,1,1,2015,"Male","CO"
"225","White",1,1,1,1,2015,"Male","MD"
"226","Black",1,1,1,1,2015,"Male","LA"
"227","NA_PI",1,1,1,1,2015,"Male","WA"
"228","White",1,1,1,1,2015,"Female","TX"
"229","White",1,1,1,1,2015,"Male","TX"
"230","White",1,1,1,1,2015,"Male","PA"
"231","",1,0,0,0,2015,"Male","CO"
"232","Hispanic",1,1,1,1,2015,"Male","CA"
"233","White",1,1,1,1,2015,"Male","OK"
"234","Black",1,1,1,1,2015,"Male","CA"
"235","Black",1,1,1,1,2015,"Male","TN"
"236","Black",1,1,1,1,2015,"Male","IN"
"237","White",1,1,1,1,2015,"Male","AZ"
"238","White",1,0,0,0,2015,"Male","WA"
"239","White",1,1,1,1,2015,"Male","CA"
"240","",1,0,0,0,2015,"Male","CA"
"241","White",1,1,1,1,2015,"Male","IN"
"242","Black",1,1,1,1,2015,"Male","SC"
"243","Black",1,1,1,0,2015,"Male","NC"
"244","White",1,1,1,1,2015,"Male","OK"
"245","White",1,1,1,1,2015,"Male","KY"
"246","Black",1,1,1,1,2015,"Male","OH"
"247","Black",1,1,1,0,2015,"Male","FL"
"248","Hispanic",1,0,0,0,2015,"Male","CA"
"249","Hispanic",1,0,0,0,2015,"Male","PR"
"250","White",1,1,1,0,2015,"Male","MO"
"251","Black",1,1,1,1,2015,"Male","NY"
"252","Black",1,1,1,0,2015,"Male","NY"
"253","White",1,1,1,1,2015,"Male","WY"
"254","Black",1,1,1,1,2015,"Male","OH"
"255","White",1,1,1,1,2015,"Male","WA"
"256","White",1,0,0,0,2015,"Male","CA"
"257","Hispanic",1,1,1,1,2015,"Male","CA"
"258","White",1,1,1,1,2015,"Female","MO"
"259","White",1,1,1,1,2015,"Male","WI"
"260","White",1,1,0,1,2015,"Male","FL"
"261","White",1,1,1,1,2015,"Male","TX"
"262","White",1,0,1,0,2015,"Female","CA"
"263","Black",1,1,1,1,2015,"Male","PA"
"264","White",1,1,1,0,2015,"Male","OH"
"265","White",1,1,1,1,2015,"Male","AZ"
"266","White",1,1,1,1,2015,"Male","NE"
"267","Hispanic",1,1,1,1,2015,"Male","NM"
"268","Hispanic",1,1,1,1,2015,"Male","TX"
"269","Black",1,1,1,1,2015,"Male","CA"
"270","Other",1,1,1,1,2015,"Male","CA"
"271","Other",1,1,1,1,2015,"Female","CA"
"272","Hispanic",1,1,1,1,2015,"Male","CO"
"273","Hispanic",1,1,1,1,2015,"Male","CA"
"274","White",1,1,1,1,2015,"Male","ME"
"275","Asian",1,0,0,0,2016,"Male","FL"
"276","White",1,1,1,1,2016,"Male","MN"
"277","White",1,1,1,1,2016,"Male","PA"
"278","White",1,1,1,1,2016,"Male","FL"
"279","",1,0,0,0,2016,"Male","CA"
"280","Black",1,1,1,1,2016,"Male","FL"
"281","White",1,1,1,1,2016,"Male","AZ"
"282","White",1,1,1,0,2016,"Male","FL"
"283","White",1,0,1,0,2016,"Female","WI"
"284","Black",1,0,0,0,2016,"Male","MD"
"285","White",1,1,1,1,2016,"Male","TN"
"286","Black",1,1,1,0,2016,"Male","FL"
"287","NA_PI",1,1,1,0,2016,"Male","SD"
"288","White",1,1,0,0,2016,"Male","KY"
"289","White",1,1,1,1,2016,"Male","TX"
"290","",1,1,1,1,2016,"Male","IL"
"291","White",1,1,1,1,2016,"Female","TX"
"292","White",1,1,1,1,2016,"Male","CA"
"293","White",1,1,1,1,2016,"Male","OR"
"294","",1,1,1,1,2016,"Male","AR"
"295","Black",1,1,1,1,2016,"Male","DC"
"296","White",1,1,1,1,2016,"Male","FL"
"297","White",1,0,0,0,2016,"Male","TX"
"298","Asian",1,1,1,1,2016,"Male","CA"
"299","White",1,1,1,1,2016,"Female","FL"
"300","",1,0,0,1,2016,"Male","AL"
"301","White",1,1,1,0,2016,"Male","CA"
"302","Black",1,1,1,0,2016,"Male","FL"
"303","White",1,1,1,0,2016,"Male","TN"
"304","White",1,1,1,1,2016,"Male","OR"
"305","Hispanic",1,1,0,0,2016,"Male","CA"
"306","White",1,1,1,1,2016,"Male","FL"
"307","Black",1,1,1,1,2016,"Male","MD"
"308","Hispanic",1,1,1,1,2016,"Male","NV"
"309","NA_PI",1,0,0,0,2016,"Male","CA"
"310","Black",1,1,1,1,2016,"Male","CA"
"311","",1,1,1,1,2016,"Male","AR"
"312","White",1,1,1,1,2016,"Male","IN"
"313","White",1,1,1,1,2016,"Male","OK"
"314","NA_PI",1,1,1,1,2016,"Male","OK"
"315","White",1,0,1,0,2016,"Male","WV"
"316","NA_PI",1,1,1,1,2016,"Male","CA"
"317","Hispanic",1,1,1,1,2016,"Male","TX"
"318","Hispanic",1,0,0,0,2016,"Male","CA"
"319","White",1,1,1,1,2016,"Male","NC"
"320","Black",1,1,1,1,2016,"Male","CA"
"321","White",1,1,1,1,2016,"Male","WA"
"322","",1,1,1,1,2016,"Male","OK"
"323","NA_PI",1,1,1,1,2016,"Male","WA"
"324","White",1,1,1,1,2016,"Male","TN"
"325","Hispanic",1,1,1,1,2016,"Male","CA"
"326","White",1,0,0,0,2016,"Male","CA"
"327","White",1,1,1,1,2016,"Male","OR"
"328","White",1,1,1,1,2016,"Male","CA"
"329","Black",1,1,1,0,2016,"Male","NC"
"330","White",1,1,1,1,2016,"Male","PA"
"331","Black",1,1,1,1,2016,"Male","MD"
"332","Black",1,1,1,1,2016,"Male","GA"
"333","",1,0,0,0,2016,"Male","FL"
"334","Black",1,1,1,1,2016,"Male","PA"
"335","Hispanic",1,1,1,1,2016,"Male","CA"
"336","White",1,1,1,1,2016,"Male","GA"
"337","White",1,1,1,1,2016,"Male","KS"
"338","White",1,1,1,1,2016,"Female","AZ"
"339","Hispanic",1,1,1,1,2016,"Male","TX"
"340","White",1,1,1,1,2016,"Male","WV"
"341","White",1,1,1,1,2016,"Male","NE"
"342","Black",1,1,1,1,2016,"Male","SC"
"343","White",1,1,1,1,2016,"Male","IN"
"344","White",1,1,1,0,2016,"Male","TN"
"345","NA_PI",1,1,1,1,2016,"Male","HI"
"346","White",1,1,1,1,2016,"Male","NC"
"347","White",1,1,1,1,2016,"Male","PA"
"348","",1,0,1,0,2016,"Male","CA"
"349","",1,0,0,0,2016,"Male","TX"
"350","Black",1,0,0,0,2016,"Male","MI"
"351","White",1,1,1,1,2016,"Male","IA"
"352","Black",1,1,1,1,2016,"Male","NC"
"353","Black",1,1,1,1,2016,"Male","TX"
"354","White",1,1,1,1,2016,"Male","FL"
"355","White",1,1,1,1,2016,"Male","KS"
"356","White",1,1,1,1,2016,"Male","OR"
"357","White",1,1,1,1,2016,"Male","FL"
"358","",1,0,1,0,2016,"Male","FL"
"359","Other",1,1,1,1,2016,"Male","OH"
"360","Black",1,1,1,1,2016,"Male","IN"
"361","Hispanic",1,1,1,1,2016,"Male","LA"
"362","White",1,1,1,1,2016,"Male","NM"
"363","White",1,1,1,0,2016,"Male","AR"
"364","White",1,1,1,1,2016,"Male","AL"
"365","White",1,1,1,1,2016,"Male","KY"
"366","White",1,0,0,0,2016,"Female","UT"
"367","White",1,1,1,1,2016,"Male","AR"
"368","Hispanic",1,1,1,0,2016,"Male","AZ"
"369","Black",1,1,1,1,2016,"Male","WA"
"370","",1,1,1,1,2017,"Male","CA"
"371","",1,1,1,1,2017,"Male","CO"
"372","White",1,1,1,1,2017,"Male","TX"
"373","",1,0,0,0,2017,"","CA"
"374","",1,1,1,1,2017,"Male","CA"
"375","",1,1,1,1,2017,"Male","GA"
"376","Black",1,1,1,1,2017,"Male","IN"
"377","",1,1,1,1,2017,"Male","AL"
"378","",1,0,0,0,2017,"Male","CA"
"379","",1,1,1,1,2017,"Male","KS"
"380","Black",1,1,1,1,2017,"Male","PA"
"381","Black",1,1,1,1,2017,"Male","PA"
"382","",1,1,1,1,2017,"Male","VA"
"383","White",1,1,1,1,2017,"Female","TX"
"384","White",1,1,1,1,2017,"Male","OR"
"385","",1,1,1,1,2017,"Male","CA"
"386","White",1,1,1,1,2017,"Male","CA"
"387","",1,1,1,1,2017,"Male","WA"
"388","",1,1,1,1,2017,"Male","NM"
"389","",1,1,1,1,2017,"Male","TN"
"390","Black",1,1,1,1,2017,"Male","IN"
"391","NA_PI",1,1,1,1,2017,"Male","WA"
"392","",1,1,1,1,2017,"Male","WA"
"393","White",1,1,1,1,2017,"Male","OK"
"394","",1,1,1,1,2017,"Male","TX"
"395","",1,1,1,1,2017,"Male","AZ"
"396","NA_PI",1,1,1,1,2017,"Male","AK"
"397","White",1,1,1,0,2017,"Female","TN"
"398","Hispanic",1,1,1,1,2017,"Male","CA"
"399","White",1,1,1,1,2017,"Male","NH"
"400","Black",1,1,1,0,2017,"Male","SC"
"401","",1,1,1,1,2017,"Male","ID"
"402","Other",1,1,1,1,2017,"Male","PA"
"403","White",1,1,1,1,2017,"Male","MN"
"404","White",1,0,1,0,2017,"Female","CA"
"405","",1,1,1,1,2017,"Male","CO"
"406","",1,1,1,1,2017,"Male","TX"
"407","White",1,1,1,1,2017,"Female","TX"
"408","Black",1,1,1,1,2017,"Male","AK"
"409","",1,1,1,1,2017,"Male","NM"
"410","",1,1,1,0,2017,"Male","CA"
"411","White",1,1,1,1,2017,"Male","OH"
"412","",1,0,0,0,2017,"Male","WA"
"413","",1,1,1,1,2017,"Male","AR"
"414","Black",1,1,1,1,2017,"Male","TX"
"415","Black",1,1,1,1,2017,"Male","MI"
"416","White",1,1,1,1,2017,"Male","WV"
"417","Black",1,1,1,1,2017,"Male","WA"
"418","White",1,1,1,0,2017,"Male","TN"
"419","White",1,1,1,1,2017,"Male","DE"
"420","White",1,1,1,1,2017,"Male","VA"
"421","White",1,1,1,1,2017,"Male","TN"
"422","White",1,1,1,1,2017,"Male","NY"
"423","Black",1,0,1,0,2017,"Male","SC"
"424","Black",1,1,1,1,2017,"Male","CT"
"425","White",1,1,1,0,2017,"Male","CA"
"426","",1,0,0,0,2017,"Male","AL"
"427","",1,0,0,0,2017,"Male","CO"
"428","White",1,1,1,1,2017,"Female","GA"
"429","White",1,1,1,0,2017,"Male","WA"
"430","",1,1,1,1,2017,"Male","MT"
"431","Black",1,1,1,1,2017,"Male","AL"
"432","",1,1,1,0,2017,"Male","CO"
"433","Hispanic",1,1,1,1,2017,"Male","CA"
"434","NA_PI",1,1,1,1,2017,"Male","OK"
"435","White",1,1,1,1,2017,"Male","CA"
"436","",1,0,1,0,2017,"Male","GA"
"437","White",1,1,1,1,2017,"Male","AR"
"438","",1,1,1,1,2017,"Male","DE"
"439","Asian",1,1,1,1,2017,"Male","CA"
"440","Black",1,0,0,0,2017,"Male","AZ"
"441","White",1,1,1,1,2017,"Male","PA"
"442","NA_PI",1,1,1,1,2017,"Male","CO"
"443","White",1,1,1,1,2017,"Male","WI"
"444","Black",1,1,1,0,2017,"Male","FL"
"445","White",1,1,1,1,2017,"Male","WY"
"446","Black",1,1,1,1,2017,"Male","FL"
"447","",1,1,1,1,2017,"Male","FL"
"448","Black",1,0,0,0,2017,"Male","GA"
"449","Black",1,1,1,1,2017,"Male","VA"
"450","Hispanic",1,1,1,1,2017,"Male","NY"
"451","White",1,1,1,1,2017,"Male","GA"
"452","",1,0,0,0,2017,"Male","CA"
"453","",1,1,1,0,2017,"Male","HI"
"454","White",1,1,1,1,2017,"Male","TX"
"455","White",1,1,1,0,2017,"Male","TX"
"456","White",1,0,0,1,2017,"Male","CO"
"457","",1,1,1,1,2017,"Male","CA"
"458","Black",1,1,1,1,2017,"Male","CA"
"459","Black",1,1,1,1,2017,"Male","NC"
"460","",1,0,1,1,2018,"Male","CA"
"461","H",1,1,1,1,2018,"Male","CO"
"462","White",1,1,1,1,2018,"Male","IA"
"463","Asian",1,1,1,1,2018,"Male","WA"
"464","Black",1,1,1,1,2018,"Male","IL"
"465","White",1,1,1,1,2018,"Male","TX"
"466","White",1,1,0,1,2018,"Male","CT"
"467","White",1,1,1,1,2018,"Male","MO"
"468","White",1,1,1,1,2018,"Male","AZ"
"469","Black",1,1,1,1,2018,"Male","TX"
"470","White",1,1,1,1,2018,"Male","IN"
"471","White",1,1,1,1,2018,"Male","TN"
"472","Black",1,1,1,1,2018,"Male","FL"
"473","White",1,1,1,1,2018,"Male","AR"
"474","Black",1,1,1,1,2018,"Male","FL"
"475","H",1,1,1,1,2018,"Male","AZ"
"476","H",1,1,1,1,2018,"Female","CA"
"477","H",1,1,1,1,2018,"Male","NM"
"478","Other",1,0,0,0,2018,"Male","HI"
"479","H",1,1,1,1,2018,"Male","NM"
"480","H",1,1,1,1,2018,"Male","CA"
"481","White",1,1,1,1,2018,"Male","FL"
"482","White",1,1,1,1,2018,"Male","OH"
"483","",1,0,0,0,2018,"Male","CA"
"484","",1,0,0,0,2018,"Male","AZ"
"485","",1,0,0,0,2018,"Male","TX"
"486","White",1,1,1,1,2018,"Male","PA"
"487","White",1,1,1,1,2018,"Male","IN"
"488","Black",1,1,1,1,2018,"Female","VA"
"489","White",1,0,0,0,2018,"Male","CA"
"490","",1,0,0,0,2018,"Male","AZ"
"491","Black",1,1,1,1,2018,"Female","SC"
"492","",1,1,1,1,2018,"Male","KS"
"493","White",1,1,1,1,2018,"Male","OK"
"494","White",1,1,1,1,2018,"Male","OH"
"495","White",1,1,1,1,2018,"Male","AZ"
"496","H",1,1,1,1,2018,"Male","CA"
"497","",1,1,1,1,2018,"Male","NY"
"498","Black",1,1,1,1,2018,"Male","TN"
"499","White",1,0,0,1,2018,"Male","FL"
"500","H",1,1,1,1,2018,"Male","NM"
"501","White",1,1,1,1,2018,"Male","FL"
"502","White",1,1,1,1,2018,"Male","FL"
"503","Black",1,1,1,1,2018,"Male","MO"
"504","Black",1,1,1,1,2018,"Female","GA"
"505","White",1,1,1,1,2018,"Male","AR"
"506","Black",1,1,1,1,2018,"Male","NY"
"507","",1,1,1,1,2018,"Male","CO"
"508","Asian",1,1,1,1,2018,"Female","HI"
"509","White",1,1,1,1,2018,"Female","GA"
"510","White",1,1,1,1,2018,"Male","CA"
"511","White",1,1,0,1,2018,"Male","NY"
"512","White",1,1,1,1,2018,"Male","OK"
"513","White",1,1,1,1,2018,"Male","AR"
"514","Black",1,1,1,1,2018,"Male","CA"
"515","Black",1,1,1,1,2018,"Male","GA"
"516","White",1,1,1,1,2018,"Male","NV"
"517","Black",1,1,1,1,2018,"Male","OH"
"518","H",1,1,1,1,2018,"Male","FL"
"519","White",1,1,1,1,2018,"Male","NV"
"520","White",1,1,1,1,2018,"Male","CA"
"521","Black",1,1,1,1,2018,"Male","GA"
"522","Black",1,1,1,1,2018,"Male","VA"
"523","White",1,1,1,1,2018,"Male","CA"
"524","White",1,1,1,1,2018,"Male","PA"
"525","H",1,1,1,1,2018,"Male","CA"
"526","H",1,1,1,1,2018,"Male","UT"
"527","Black",1,1,1,1,2018,"Male","FL"
"528","Black",1,1,1,1,2018,"Male","FL"
"529","Black",1,1,1,1,2018,"Male","NV"
"530","",1,0,0,0,2019,"Male","IL"
"531","White",1,0,1,1,2019,"Male","KS"
"532","",1,0,1,1,2019,"Male","TX"
"533","Black",1,0,1,1,2019,"Male","MO"
"534","",1,0,0,1,2019,"Male","TX"
"535","White",1,0,1,1,2019,"Male","FL"
"536","White",1,0,1,1,2019,"Male","NY"
"537","",1,0,1,1,2019,"Male","CA"
"538","",1,0,1,1,2019,"Male","WA"
"539","",1,0,1,1,2019,"Male","NC"
"540","",1,0,1,1,2019,"Female","OK"
"541","",1,0,1,1,2019,"Male","FL"
"542","White",1,0,1,1,2019,"Female","NM"
"543","",1,0,1,1,2019,"Male","CA"
"544","",1,0,1,1,2019,"Male","AZ"
"545","",1,0,1,1,2019,"Male","CA"
"546","",1,0,0,0,2019,"Male","AZ"
"547","Black",1,0,1,1,2019,"Male","LA"
"548","H",1,0,1,1,2019,"Male","FL"
"549","",1,0,0,1,2019,"Female","TX"
"550","H",1,0,1,1,2019,"Male","FL"
"551","",1,0,1,1,2019,"Male","FL"
"552","",1,0,1,1,2019,"Male","NV"
"553","",1,0,1,1,2019,"Male","MD"
"554","Black",1,0,1,1,2019,"Female","TX"
"555","",1,0,0,0,2019,"Male",""
"556","H",1,0,1,1,2019,"Male","NE"
"557","",1,0,1,1,2019,"Male","AZ"
"558","White",1,0,1,1,2019,"Male","VT"
"559","Black",1,0,1,1,2019,"Male","GA"
"560","",1,0,1,1,2019,"Male","IL"
"561","",1,0,1,1,2019,"Male","OK"
"562","H",1,0,1,1,2019,"Male","AZ"
"563","",1,0,0,0,2019,"Male","WA"
"564","",1,0,1,1,2019,"Male","VA"
